| a | b | c | d | e | f | g | h |  sel   |out|
| 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  000   | 1 |
| 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  001   | 1 |
| 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  010   | 1 |
| 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  011   | 1 |
| 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  100   | 1 |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |  101   | 1 |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  110   | 1 |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |  111   | 1 |
| 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  000   | 1 |
| 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  001   | 0 |
| 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 |  001   | 1 |
| 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 |  011   | 0 |
| 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 |  011   | 1 |
| 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 |  100   | 1 |
| 1 | 1 | 1 | 1 | 1 | 0 | 0 | 1 |  110   | 0 |
| 1 | 1 | 1 | 1 | 1 | 0 | 0 | 1 |  111   | 1 |
